iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
240.0,0,0.49293147027492523,6.515380366643269,0.7999999999999999,0.3569999992847444,0.7246666729450225
250.0,0,0.48643465240796396,6.689825534820557,0.8050000031789143,0.3536666661500931,0.7246666729450225
260.0,0,0.4781219820181529,6.7617534478505466,0.8066666662693024,0.35766666630903887,0.7246666729450225
270.0,0,0.49212262829144787,6.800673850377403,0.7996666669845581,0.35666666527589164,0.7246666729450225
280.0,0,0.48065469364325203,6.870926125844319,0.808666662375132,0.3496666649977367,0.7246666729450225
290.0,0,0.47548972666263567,6.895997428894044,0.8103333334128061,0.35699999928474435,0.7246666729450225
300.0,0,0.48976970911025997,6.935430208841958,0.8039999981721241,0.3506666660308838,0.7246666729450225
310.0,0,0.4610958104332288,7.031142584482828,0.8133333285649618,0.3553333342075348,0.7246666729450225
320.0,0,0.47008618563413623,7.11449236869812,0.8103333314259847,0.3513333320617676,0.7246666729450225
330.0,0,0.4674566204349198,7.149428574244181,0.8099999924500781,0.3553333342075349,0.7246666729450225
340.0,0,0.4744030058383942,7.151388359069822,0.8123333295186359,0.34966666599114743,0.7246666729450225
350.0,0,0.4477782845497131,7.2818393389383935,0.8196666598320006,0.35466666618982956,0.7246666729450225
360.0,0,0.5081184605757396,7.43115930557251,0.789999997615814,0.341333332657814,0.7246666729450225
370.0,0,0.4576911116639773,7.28017168045044,0.817999994754791,0.35300000111262003,0.7246666729450225
380.0,0,0.4550553301970164,7.365370066960652,0.8216666599114734,0.35733333428700764,0.7246666729450225
390.0,0,0.4534478808442751,7.532385079065959,0.8209999938805898,0.3553333332141241,0.7246666729450225
400.0,0,0.47187461455663043,7.260266749064128,0.815666663646698,0.35500000119209296,0.7246666729450225
410.0,0,0.456757198770841,7.374233166376752,0.8183333337306974,0.3523333321015041,0.7246666729450225
420.0,0,0.4561661352713902,7.503332297007242,0.8216666618982951,0.3543333361546198,0.7246666729450225
430.0,0,0.45189498861630767,7.572381909688315,0.8203333258628845,0.3536666681369146,0.7246666729450225
440.0,0,0.450089722375075,7.589679892857869,0.8209999958674112,0.35200000107288365,0.7246666729450225
450.0,0,0.4439718579252562,7.686426321665446,0.8266666611035663,0.3553333352009455,0.7246666729450225
460.0,0,0.45553857634464906,7.7939755280812575,0.8243333260218304,0.35066666603088387,0.7246666729450225
470.0,0,0.4527019793788593,7.7581259091695145,0.8239999969800312,0.3530000001192093,0.7246666729450225
480.0,0,0.4576558987299602,7.889875253041584,0.8216666579246519,0.3483333339293799,0.7246666729450225
490.0,0,0.4550609325369199,7.923422209421792,0.8233333230018615,0.3496666659911474,0.7246666729450225
500.0,0,0.451088438431422,7.920170720418293,0.8263333280881245,0.35400000115235647,0.7246666729450225
510.0,0,0.4426187252004942,7.986743752161663,0.8279999911785125,0.3549999992052714,0.7246666729450225
520.0,0,0.466789434850216,8.016999340057373,0.8226666669050852,0.346333333849907,0.7246666729450225
530.0,0,0.4569178144137065,8.053883711496987,0.8249999960263569,0.3513333330551784,0.7246666729450225
540.0,0,0.44753638058900824,7.940822553634644,0.8296666602293652,0.3556666682163875,0.7246666729450225
550.0,0,0.4379874502619109,8.112317132949828,0.8346666594346364,0.35433333317438753,0.7246666729450225
560.0,0,0.4508847445249558,8.127780485153199,0.829333331187566,0.35133333404858913,0.7246666729450225
570.0,0,0.4485723962386448,8.223225084940594,0.8279999931653339,0.35266666809717817,0.7246666729450225
580.0,0,0.4400278151035309,8.187249660491943,0.8339999934037527,0.35633333325386046,0.7246666729450225
590.0,0,0.45228981624046954,8.306100511550904,0.8276666601498921,0.3496666669845582,0.7246666729450225
iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
0,2,1.9642968893051147,2.4695794026056923,0.3033333336313565,0.19799999843041113
10.0,2,1.6340271313985186,2.5258331855138136,0.48033333122730243,0.19733333289623264
20.0,2,1.3657439827919005,2.646442675590515,0.5819999913374584,0.1973333323995273
30.0,2,1.150422434012095,2.8592170317967733,0.6506666640440624,0.18700000072518982
40.0,2,0.9703635732332865,2.9402253866195682,0.6780000070730845,0.17466666648785278
50.0,2,0.8422243495782216,3.19318528175354,0.7180000007152557,0.16600000088413558
60.0,2,0.7390098611513775,3.4765189727147425,0.752333335081736,0.16966666703422864
